Last Name;First Name;Team;Opponent;Home/Away;Formation;Position;Games Played;Minutes;Starts;SubOn;SubOff;YellowCards;YellowRedCards;RedCards;Goals;Assists;SecondaryAssists;Shots;ShotsOnGoal;Interceptions;Crosses;AccurateCrosses;ChancesCreated;Blocks;TotalTackles;TacklesWon;FoulsCommitted;FoulsSuffered;Passes;AttemptedPasses;AccurateCrosses-OpenPlay;AerialsWon;BigChancesCreated;BallRecoveries;Dribbles;DuelsWon;Touches;TouchesInBox;ShotsInsideBox;ShotsOutsideBox;ShotsOnGoalInsideBox;ShotsOnGoalOutsideBox;GoalsInsideBox;GoalsOutsideBox;Dispossessed;OwnGoals;PenaltyKicksTaken;PenaltyKickGoals;PenaltyKickMisses;PenaltyKicksSaved;CornersTaken;CornerCrosses;CornersWon;FreeKickCrosses;FreeKickAccurateCrosses;FreeKickShots;FreeKickShotsOnGoal;FreeKickGoals;GoalsConceded;CleanSheets;Saves;SavesFromShotsInsideBox;SavesFromShotsOutsideBox;AccurateKeeperSweeper;PenaltyConceded;PenaltiesFaced;PenaltySaves;Clearances;EffectiveClearances;Punches
Blayac;Jeremy;STR;DIJ;H;4132;FW;1;67;1;0;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;4;15;27;0;10;0;3;0;14;41;4;3;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Sunu;Gilles;ANG;REN;A;4141;FW;1;64;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;6;11;0;3;0;1;0;7;21;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salibur;Yannis;GUI;AMN;A;4231;AMR;1;64;1;0;1;1;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;15;19;0;0;0;1;0;0;29;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Ikone;Nanitamo Jonathan;MTP;TOU;H;3421;AMC;1;62;1;0;1;0;0;0;0;0;0;2;0;1;3;1;2;0;0;0;0;0;15;21;0;2;0;2;1;3;37;7;2;0;0;0;0;0;2;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Kacaniklic;Alexander;NTE;BDX;H;4231;AMR;1;62;1;0;1;0;0;0;0;0;0;0;0;2;2;1;0;0;3;2;0;1;16;21;1;0;0;2;0;4;39;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Di Maria;Angel;PSG;LYO;A;433;FWL;1;61;1;0;1;0;0;0;0;0;0;1;0;0;5;1;1;0;0;0;0;1;20;25;0;0;0;3;1;2;38;2;0;1;0;0;0;0;0;0;0;0;0;0;4;2;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Stavitski;Timo;CAE;MAR;H;4141;MR;1;61;1;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;0;5;11;0;0;0;2;1;1;22;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Pele;Bryan;TRO;LIL;H;4231;AMR;1;60;1;0;1;0;0;0;0;0;0;0;0;1;4;1;0;0;0;0;1;1;16;25;1;3;0;1;0;3;43;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Ntep;Paul-Georges;ETI;NIC;A;4231;AML;1;59;1;0;1;0;0;0;0;0;0;1;1;1;3;0;0;0;3;3;2;1;13;17;0;0;0;1;2;6;37;1;1;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Ponce;Ezequiel;LIL;TRO;A;4141;FW;1;59;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;12;15;0;1;0;0;0;1;27;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Dani Alves;;PSG;LYO;A;433;DR;1;57;1;0;0;0;0;1;0;1;0;0;0;0;8;2;3;0;2;1;2;0;41;55;2;3;0;5;1;6;77;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Diakhaby;Adama;MON;MET;H;433;FWL;1;55;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;2;0;0;1;6;9;0;2;1;2;0;5;20;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mubele;Firmin;REN;ANG;H;4231;FW;1;54;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;8;12;0;0;0;1;0;2;24;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Sanogo;Yaya;TOU;MTP;A;433;FW;1;54;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;3;6;0;1;0;0;0;2;11;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
