Last Name;First Name;Team;Opponent;Home/Away;Formation;Position;Games Played;Minutes;Starts;SubOn;SubOff;YellowCards;YellowRedCards;RedCards;Goals;Assists;SecondaryAssists;Shots;ShotsOnGoal;Interceptions;Crosses;AccurateCrosses;ChancesCreated;Blocks;TotalTackles;TacklesWon;FoulsCommitted;FoulsSuffered;Passes;AttemptedPasses;AccurateCrosses-OpenPlay;AerialsWon;BigChancesCreated;BallRecoveries;Dribbles;DuelsWon;Touches;TouchesInBox;ShotsInsideBox;ShotsOutsideBox;ShotsOnGoalInsideBox;ShotsOnGoalOutsideBox;GoalsInsideBox;GoalsOutsideBox;Dispossessed;OwnGoals;PenaltyKicksTaken;PenaltyKickGoals;PenaltyKickMisses;PenaltyKicksSaved;CornersTaken;CornerCrosses;CornersWon;FreeKickCrosses;FreeKickAccurateCrosses;FreeKickShots;FreeKickShotsOnGoal;FreeKickGoals;GoalsConceded;CleanSheets;Saves;SavesFromShotsInsideBox;SavesFromShotsOutsideBox;AccurateKeeperSweeper;PenaltyConceded;PenaltiesFaced;PenaltySaves;Clearances;EffectiveClearances;Punches
Dante;;NIC;PSG;H;433;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;33;37;0;0;0;5;0;1;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;8;8;0
Roux;Nolan;MET;NTE;H;4231;AML;1;90;1;0;0;0;0;0;1;0;0;4;2;0;0;0;0;0;2;0;0;2;18;29;0;1;0;10;1;6;43;5;3;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Subotic;Neven;ETI;GUI;H;4231;DC;1;90;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;51;55;0;2;0;6;0;2;64;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;5;0
Subasic;Danijel;MON;LIL;H;4231;GK;1;90;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;20;0;0;0;7;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1;3;1;0;0;0;1;1;1
Traore;Bertrand;LYO;MAR;A;433;FWR;1;90;1;0;0;0;0;0;0;1;0;2;2;2;1;1;1;0;4;2;0;2;25;33;1;2;0;7;7;14;67;7;1;1;1;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Traore;Lacina;AMN;TRO;H;4222;FW;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;3;4;9;24;0;13;0;0;0;18;40;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0
Ruffier;Stephane;ETI;GUI;H;4231;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;26;0;0;0;4;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;1;0;0;0;0;0;0;0
Sanogo;Yaya;TOU;STR;H;433;FW;1;90;1;0;0;0;0;0;2;0;0;3;3;0;1;0;1;0;0;0;1;3;5;9;0;3;0;1;0;6;22;6;3;0;3;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0
Thauvin;Florian;MAR;LYO;H;4231;AMR;1;90;1;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;1;0;2;3;31;37;0;0;0;5;1;5;54;2;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
Trapp;Kevin;PSG;ANG;H;433;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;25;0;0;0;11;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7;3;4;0;0;0;0;1;1;0
Corgnet;Benjamin;STR;TOU;A;41212;AMC;1;90;1;0;0;0;0;0;0;1;0;2;1;2;4;2;1;0;4;4;0;1;39;47;2;3;1;6;0;8;70;5;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Kurzawa;Layvin;PSG;ANG;H;433;DL;1;90;1;0;0;0;0;0;0;1;0;0;0;3;1;1;1;0;6;4;0;1;36;41;1;2;1;5;1;10;70;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0
Tielemans;Youri;MON;LIL;H;4231;DMC;1;90;1;0;0;0;0;0;0;0;0;1;0;2;1;0;0;2;3;1;0;0;41;55;0;2;0;11;0;5;73;2;0;1;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Danze;Romain;REN;BDX;A;4231;DR;1;90;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;30;44;0;3;0;7;0;4;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;4;0
Dossevi;Matthieu;MET;NTE;H;4231;AMR;1;90;1;0;0;0;0;0;0;0;0;0;0;2;6;3;4;0;1;0;0;2;24;33;3;0;0;4;2;5;56;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Rabiot;Adrien;PSG;NIC;A;433;MC;1;90;1;0;0;0;0;0;0;1;0;1;0;5;1;1;1;1;3;1;1;1;99;104;1;0;1;7;0;4;120;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Glik;Kamil;MON;LIL;H;4231;DC;1;90;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;50;58;0;1;0;6;0;2;68;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;5;0
Kimpembe;Presnel;PSG;ANG;H;433;DC;1;90;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;57;61;0;0;0;5;0;1;68;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;4;0
Kimpembe;Presnel;PSG;NIC;A;433;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;3;3;52;54;0;1;0;11;1;6;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;0
Avelar;Danilo Fernando;AMN;TRO;H;4222;DL;1;90;1;0;0;1;0;0;0;0;0;0;0;1;5;1;1;0;1;0;3;0;28;40;1;2;0;3;1;4;75;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Maignan;Mike;LIL;MON;A;442;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;22;0;0;0;10;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;1;1;1
Amavi;Jordan;MAR;LYO;H;4231;DL;1;90;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;2;0;2;1;24;33;1;0;0;7;3;6;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;2;0
M'Vila;Yann;ETI;GUI;H;4231;DMC;1;90;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;2;81;87;0;3;0;5;0;4;99;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;0
Djilobodji;Papy;DIJ;MTP;A;343;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;1;0;39;46;0;1;0;6;0;1;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;8;8;0
Lopes;Anthony;LYO;MAR;A;433;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;31;0;0;0;10;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;1;2;0;0;0;0;0;0;0
Kone;Bakary;STR;TOU;A;41212;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;1;1;2;13;19;0;4;0;0;0;8;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;5;0
Morel;Jeremy;LYO;MAR;A;433;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;2;27;34;0;1;0;7;1;5;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0
Tousart;Lucas;LYO;MAR;A;433;MC;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;6;2;1;1;15;28;0;7;0;2;1;15;41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0
Imbula;Giannelli;TOU;STR;H;433;MC;1;90;1;0;0;0;0;0;0;0;0;1;0;0;7;2;2;0;2;1;0;0;47;52;2;1;1;11;1;4;70;0;0;1;0;0;0;0;3;0;0;0;0;0;3;3;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Tatarusanu;Ciprian;NTE;MET;A;4231;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;23;0;0;0;14;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;2;1;0;0;0;0;0;0;0
Butelle;Ludovic;ANG;CAE;H;4141;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;27;0;1;0;11;0;1;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;1;1;0
Butelle;Ludovic;ANG;PSG;A;4141;GK;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;14;20;0;0;0;9;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;4;1;1;0;0;0;1;1;0
Traore;Ismael;ANG;CAE;H;4141;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;16;22;0;1;0;2;1;3;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;7;0
Thomas;Romain;ANG;PSG;A;4141;DC;1;90;1;0;0;1;0;0;0;0;0;2;0;2;0;0;0;1;1;1;2;1;23;25;0;1;0;3;0;3;37;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0
Mangani;Thomas;ANG;CAE;H;4141;MC;1;90;1;0;0;0;0;0;0;0;0;1;0;2;1;0;2;0;0;0;0;0;42;51;0;1;0;5;1;2;64;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Mangani;Thomas;ANG;PSG;A;4141;MC;1;90;1;0;0;0;0;0;0;0;0;2;1;2;4;0;3;0;7;2;1;1;59;67;0;0;0;3;1;9;91;1;1;1;1;0;0;0;1;0;0;0;0;0;3;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0
Manceau;Vincent;ANG;CAE;H;4141;DR;1;90;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;26;36;0;0;1;5;1;2;65;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
Manceau;Vincent;ANG;PSG;A;4141;DR;1;90;1;0;0;0;0;0;0;0;0;0;0;0;3;1;4;0;3;3;0;0;32;35;1;0;0;3;0;3;48;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0
Prcic;Sanjin;REN;BDX;A;4231;DMC;1;90;1;0;0;0;0;0;0;0;0;0;0;5;1;1;0;0;6;1;0;0;41;48;1;0;0;5;0;6;64;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0
Pablo;;BDX;REN;H;433;DC;1;90;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;1;1;0;57;64;0;4;0;15;0;5;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;5;0
Pallois;Nicolas;NTE;MET;A;4231;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;0;1;53;63;0;2;0;8;1;6;75;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;4;0
Yambere;Cedric;DIJ;MTP;A;343;DC;1;90;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;24;32;0;1;0;3;1;3;43;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;6;6;0
Guilbert;Frederic;CAE;ANG;A;352;MR;1;90;1;0;0;1;0;0;0;0;0;0;0;1;3;1;0;1;3;2;1;0;28;34;1;3;0;10;0;6;50;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;1;0
Poundje;Maxime;BDX;REN;H;433;DL;1;90;1;0;0;0;0;0;0;0;0;0;0;2;10;0;0;0;2;1;1;0;34;40;0;3;0;6;6;11;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0
Vercoutre;Remy;CAE;ANG;A;352;GK;1;90;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;23;0;0;0;9;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;1;2;0;0;0;0;1;1;0
Da Silva;Damien;CAE;ANG;A;352;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4;2;1;52;67;0;5;0;7;0;10;82;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;6;6;0
Bessat;Vincent;CAE;ANG;A;352;ML;1;90;1;0;0;0;0;0;0;0;0;1;0;1;9;0;1;0;2;2;1;1;44;48;0;0;0;3;0;3;85;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;1;0
Feret;Julien;CAE;ANG;A;352;MC;1;90;1;0;0;0;0;0;0;0;0;2;1;1;6;2;1;0;0;0;1;2;29;42;0;2;1;3;1;5;63;0;0;2;0;1;0;0;0;0;0;0;0;0;3;3;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
Sylla;Issiaga;TOU;STR;H;433;DL;1;90;1;0;0;0;0;0;0;1;0;1;1;2;11;3;4;0;1;0;1;1;25;41;3;4;1;7;1;7;86;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;8;8;0
Martinez;Pablo;STR;TOU;A;41212;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;1;1;1;14;19;0;0;0;3;0;2;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;9;0
Sorbon;Jeremy;GUI;ETI;A;4231;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;28;33;0;0;0;3;0;1;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5;5;0
Kerbrat;Christophe;GUI;ETI;A;4231;DC;1;90;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;29;34;0;0;0;4;0;0;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;9;9;0
Briand;Jimmy;GUI;ETI;A;4231;AML;1;90;1;0;0;0;0;0;0;0;0;0;0;1;2;0;2;0;2;1;0;5;14;20;0;3;0;6;1;9;42;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;3;0
Sidibe;Djibril;MON;LIL;H;4231;DR;1;90;1;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;6;3;0;0;52;59;0;0;1;6;1;7;85;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Amadou;Ibrahim;LIL;MON;A;442;MC;1;90;1;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;2;1;49;56;1;1;0;8;0;2;65;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0
Meite;Soualiho;BDX;REN;H;433;MC;1;90;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;2;48;60;0;3;0;14;3;8;80;1;1;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;1;0
