ID;IDRECHERCHE1;PRENOM;NOM;TEAM;POS;PRIX;IDRECHERCHE2
;PonceEzequielLIL;Ezequiel;Ponce;LIL;Forward;10;
;LemoineFabienETI;Fabien;Lemoine;ETI;Midfielder;10;
;DiarraRaphaelMON;Raphael;Diarra;MON;Defender;10;
;PirizFacundoMTP;Facundo;Piriz;MTP;Midfielder;10;
;DialloAbdoulayeREN;Abdoulaye;Diallo;REN;Goalkeeper;10;
;DiagneFallouMET;Fallou;Diagne;MET;Defender;10;
;BahlouliFaresLIL;Fares;Bahlouli;LIL;Midfielder;10;
;Eboa_EboaFelixGUI;Felix;Eboa Eboa;GUI;Defender;10;
;MendyFerlandLYO;Ferland;Mendy;LYO;Defender;10;
;MarcalFernandoLYO;Fernando;Marcal;LYO;Defender;10;
;ErasmusKermitREN;Kermit;Erasmus;REN;Forward;10;
;TaitFlavienANG;Flavien;Tait;ANG;Midfielder;10;
;BalmontFlorentDIJ;Florent;Balmont;DIJ;Midfielder;10;
;MolletFlorentMET;Florent;Mollet;MET;Midfielder;10;
;PogbaFlorentinETI;Florentin;Pogba;ETI;Defender;10;
;EscalesFlorianMAR;Florian;Escales;MAR;Goalkeeper;10;
;Le_JoncourFlorianCAE;Florian;Le Joncour;CAE;Defender;10;
;ThauvinFlorianMAR;Florian;Thauvin;MAR;Midfielder;10;
;Toure_BalloFodeLIL;Fode;Toure Ballo;LIL;Defender;10;
;Toure_BalloFodeLIL;Fode;Toure Ballo;LIL;Midfielder;10;
;ChafikFouadDIJ;Fouad;Chafik;DIJ;Defender;10;
;HeryFranckGUI;Franck;Hery;GUI;Defender;10;
;TabanouFranckGUI;Franck;Tabanou;GUI;Defender;10;
;DingomeTristanTRO;Tristan;Dingome;TRO;Midfielder;10;
;KamanoFrancoisBDX;Francois;Kamano;BDX;Forward;10;
;GuilbertFredericCAE;Frederic;Guilbert;CAE;Defender;10;
;SammaritanoFredericDIJ;Frederic;Sammaritano;DIJ;Midfielder;10;
;DioufYehvannTRO;Yehvann;Diouf;TRO;Goalkeeper;10;
;FabinhoMON;;Fabinho;MON;Midfielder;10;
;SilvaGabrielETI;Gabriel;Silva;ETI;Defender;10;
;KakutaGaelAMN;Gael;Kakuta;AMN;Midfielder;10;
;LabordeGaetanBDX;Gaetan;Laborde;BDX;Forward;10;
;PoussinGaetanBDX;Gaetan;Poussin;BDX;Goalkeeper;10;
;Ignatius_GanagoKpeneNIC;Kpene;Ignatius Ganago;NIC;Forward;10;
;Gope-FenepejGeorgesAMN;Georges;Gope-Fenepej;AMN;Forward;10;
;GoudiabyLemouyaMET;Lemouya;Goudiaby;MET;Midfielder;10;
;PobleteGeronimoMET;Geronimo;Poblete;MET;Midfielder;10;
;ImbulaGiannelliTOU;Giannelli;Imbula;TOU;Midfielder;10;
;FalcaoRadamelMON;Radamel;Falcao;MON;Forward;10;
;SunuGillesANG;Gilles;Sunu;ANG;Forward;10;
;Lo_CelsoGiovaniPSG;Giovani;Lo Celso;PSG;Midfielder;10;
;SioGiovanniMTP;Giovanni;Sio;MTP;Forward;10;
;KaranovicGoranANG;Goran;Karanovic;ANG;Forward;10;
;JalletChristopheNIC;Christophe;Jallet;NIC;Defender;10;
;SerticGregoryMAR;Gregory;Sertic;MAR;Midfielder;10;
;FofanaGuessoumaAMN;Guessouma;Fofana;AMN;Midfielder;10;
;GhezzalRachidMON;Rachid;Ghezzal;MON;Midfielder;10;
;NGossoGuyAMN;Guy;NGosso;AMN;Midfielder;10;N'GossoGuyAMN;
;FigueiredoAfonsoREN;Afonso;Figueiredo;REN;Defender;10;
;KeytaHamidouETI;Hamidou;Keyta;ETI;Forward;10;
;ManzalaHarissonAMN;Harisson;Manzala;AMN;Midfielder;10;
;Ben_ArfaHatemPSG;Hatem;Ben Arfa;PSG;Forward;10;
;BedimoHenriMAR;Henri;Bedimo;MAR;Defender;10;
;HernaniETI;;Hernani;ETI;Midfielder;10;
;BazileHerveCAE;Herve;Bazile;CAE;Forward;10;
;KoffiHerveLIL;Herve;Koffi;LIL;Goalkeeper;10;
;OngendaHervinPSG;Hervin;Ongenda;PSG;Forward;10;
;M'LaabHichamPSG;Hicham;M'Laab;PSG;Midfielder;10;
;SakaiHirokiMAR;Hiroki;Sakai;MAR;Defender;10;
;AmadouIbrahimLIL;Ibrahim;Amadou;LIL;Defender;10;
;SangareIbrahimTOU;Ibrahim;Sangare;TOU;Midfielder;10;
;DialloIbrahimaANG;Ibrahima;Diallo;ANG;Defender;10;
;NianeIbrahimaMET;Ibrahima;Niane;MET;Forward;10;
;GoncalvesAnthonySTR;Anthony;Goncalves;STR;Midfielder;10;
;LewczukIgorBDX;Igor;Lewczuk;BDX;Defender;10;
;GrimmJeremySTR;Jeremy;Grimm;STR;Midfielder;10;
;HassaniIliasBDX;Ilias;Hassani;BDX;Defender;10;
;FarajImadLIL;Imad;Faraj;LIL;Forward;10;
;MbenzaIsaacMTP;Isaac;Mbenza;MTP;Forward;10;
;DiomandeIsmael_TiemokoCAE;Ismael Tiemoko;Diomande;CAE;Midfielder;10;
;TraoreIsmaelANG;Ismael;Traore;ANG;Defender;10;
;GertmonasEdvinasREN;Edvinas;Gertmonas;REN;Goalkeeper;10;
;CissokhoIssaAMN;Issa;Cissokho;AMN;Defender;10;
;DiopIssaTOU;Issa;Diop;TOU;Defender;10;
;SyllaIssiagaTOU;Issiaga;Sylla;TOU;Defender;10;
;BalliuIvanMET;Ivan;Balliu;MET;Defender;10;
;InzoudineIvanGUI;Ivan;Inzoudine;GUI;Defender;10;
;SantiniIvanCAE;Ivan;Santini;CAE;Forward;10;
;MoubandjeJacques_FrancoisTOU;Jacques Francois;Moubandje;TOU;Defender;10;
;SaihiJamelANG;Jamel;Saihi;ANG;Midfielder;10;
;GnagnonJorisREN;Joris;Gnagnon;REN;Defender;10;
;GabrielTRO;;Gabriel;TRO;Defender;10;
;PlasilJaroslavBDX;Jaroslav;Plasil;BDX;Midfielder;10;
;PastoreJavierPSG;Javier;Pastore;PSG;Midfielder;10;
;CalveJeanAMN;Jean;Calve;AMN;Defender;10;
;KozielloVincentNIC;Vincent;Koziello;NIC;Midfielder;10;
;BouetJean-ChristopheAMN;Jean-Christophe;Bouet;AMN;Goalkeeper;10;
;Akpa-AkproJean-DanielTOU;Jean-Daniel;Akpa-Akpro;TOU;Midfielder;10;
;KamaraBingourouSTR;Bingourou;Kamara;STR;Goalkeeper;10;
;DompeJean-LucAMN;Jean-Luc;Dompe;AMN;Forward;10;
;Le_BihanMickaelNIC;Mickael;Le Bihan;NIC;Forward;10;
;LouisJeffCAE;Jeff;Louis;CAE;Forward;10;
;GlikKamilMON;Kamil;Glik;MON;Defender;10;
;BelaJeremieDIJ;Jeremie;Bela;DIJ;Midfielder;10;
;Porsan-ClementeJeremieMTP;Jeremie;Porsan-Clemente;MTP;Forward;10;
;KoneBakarySTR;Bakary;Kone;STR;Defender;10;
;LalaKennySTR;Kenny;Lala;STR;Defender;10;
;ClementJeremyETI;Jeremy;Clement;ETI;Midfielder;10;
;GiraudonJimmyTRO;Jimmy;Giraudon;TRO;Defender;10;
;LienardDimitriSTR;Dimitri;Lienard;STR;Midfielder;10;
;LivolantJeremyGUI;Jeremy;Livolant;GUI;Midfielder;10;
;MorelJeremyLYO;Jeremy;Morel;LYO;Defender;10;
;SorbonJeremyGUI;Jeremy;Sorbon;GUI;Defender;10;
;ToulalanJeremyBDX;Jeremy;Toulalan;BDX;Midfielder;10;
;PriorJeromeBDX;Jerome;Prior;BDX;Goalkeeper;10;
;RoussillonJeromeMTP;Jerome;Roussillon;MTP;Defender;10;
;NyemeckJerroldETI;Jerrold;Nyemeck;ETI;Defender;10;
;MoulinJessyETI;Jessy;Moulin;ETI;Goalkeeper;10;
;BriandJimmyGUI;Jimmy;Briand;GUI;Forward;10;
;DurmazJimmyTOU;Jimmy;Durmaz;TOU;Midfielder;10;
;GoteniRandiTRO;Randi;Goteni;TRO;Midfielder;10;
;Le_MarchandMaximeNIC;Maxime;Le Marchand;NIC;Defender;10;
;JemersonMON;;Jemerson;MON;Defender;10;
;GrandsirSamuelTRO;Samuel;Grandsir;TRO;Forward;10;
;PlacideJohnnyGUI;Johnny;Placide;GUI;Goalkeeper;10;
;ManganeKaderSTR;Kader;Mangane;STR;Defender;10;
;BambaJonathanETI;Jonathan;Bamba;ETI;Forward;10;
;CorreiaJonathanGUI;Jonathan;Correia;GUI;Defender;10;
;DelaplaceJonathanCAE;Jonathan;Delaplace;CAE;Midfielder;10;
;LigaliJonathanMTP;Jonathan;Ligali;MTP;Goalkeeper;10;
;Martins_PereiraJonathanGUI;Jonathan;Martins Pereira;GUI;Defender;10;
;RivierezJonathanMET;Jonathan;Rivierez;MET;Defender;10;
;HerelleChristopheTRO;Christophe;Herelle;TRO;Defender;10;
;AmaviJordanMAR;Jordan;Amavi;MAR;Defender;10;
;FerriJordanLYO;Jordan;Ferri;LYO;Midfielder;10;
;IkokoJordanGUI;Jordan;Ikoko;GUI;Defender;10;
;DeminguetJessyCAE;Jessy;Deminguet;CAE;Midfielder;10;
;LeborgneJordanCAE;Jordan;Leborgne;CAE;Midfielder;10;
;MarieJordanDIJ;Jordan;Marie;DIJ;Midfielder;10;
;NkololoJordanCAE;Jordan;Nkololo;CAE;Midfielder;10;
;GourcuffYoannREN;Yoann;Gourcuff;REN;Midfielder;10;
;JorgeMON;;Jorge;MON;Defender;10;
;JoveticStevanMON;Stevan;Jovetic;MON;Forward;10;
;KeitaMON;;Keita;MON;Forward;10;
;RolandoJorgeMAR;Jorge;Rolando;MAR;Defender;10;RolandoMAR;
;JorginhoETI;;Jorginho;ETI;Midfielder;10;
;HunouAdrienREN;Adrien;Hunou;REN;Midfielder;10;
;KayembeJorisNTE;Joris;Kayembe;NTE;Midfielder;10;
;IlokiJulesNTE;Jules;Iloki;NTE;Midfielder;10;
;DraxlerJulianPSG;Julian;Draxler;PSG;Forward;10;
;CardyJulienGUI;Julien;Cardy;GUI;Midfielder;10;
;FeretJulienCAE;Julien;Feret;CAE;Midfielder;10;
;IelschJulienAMN;Julien;Ielsch;AMN;Defender;10;
;TavaresJulioDIJ;Julio;Tavares;DIJ;Forward;10;
;AlonsoJuniorLIL;Junior;Alonso;LIL;Defender;10;
;SambiaJuniorMTP;Junior;Sambia;MTP;Midfielder;10;
;MartinJonasSTR;Jonas;Martin;STR;Midfielder;10;
;TraoreKalifaANG;Kalifa;Traore;ANG;Defender;10;
;KongoloTerenceMON;Terence;Kongolo;MON;Defender;10;
;AchahbarKarimGUI;Karim;Achahbar;GUI;Forward;10;
;KayeJanTRO;Jan;Kaye;TRO;Forward;10;
;Toko_EkambiKarlANG;Karl;Toko Ekambi;ANG;Forward;10;
;JohnssonKarl-JohanGUI;Karl-Johan;Johnsson;GUI;Goalkeeper;10;
;DollyKeaganMTP;Keagan;Dolly;MTP;Midfielder;10;
;Amian_AdouKelvinTOU;Kelvin;Amian Adou;TOU;Defender;10;
;MartinezPabloSTR;Pablo;Martinez;STR;Defender;10;
;Rocha_SantosKennyETI;Kenny;Rocha Santos;ETI;Midfielder;10;
;TeteKennyLYO;Kenny;Tete;LYO;Defender;10;
;JanvierNicolasREN;Nicolas;Janvier;REN;Midfielder;10;
;BerigaudKevinMTP;Kevin;Berigaud;MTP;Forward;10;
;MalcuitKevinLIL;Kevin;Malcuit;LIL;Defender;10;
;Monnet-PaquetKevinETI;Kevin;Monnet-Paquet;ETI;Forward;10;
;LemarThomasMON;Thomas;Lemar;MON;Midfielder;10;
;RimaneKevinPSG;Kevin;Rimane;PSG;Defender;10;
;Theophile-CatherineKevinETI;Kevin;Theophile-Catherine;ETI;Defender;10;
;TrappKevinPSG;Kevin;Trapp;PSG;Goalkeeper;10;
;AdenonKhaledAMN;Khaled;Adenon;AMN;Defender;10;
;PagliucaKilianLYO;Kilian;Pagliuca;LYO;Forward;10;
;SansonKillianMTP;Killian;Sanson;MTP;Midfielder;10;
;DjidjiKoffiNTE;Koffi;Djidji;NTE;Defender;10;
;SigthorssonKolbeinnNTE;Kolbeinn;Sigthorsson;NTE;Forward;10;
;MitroglouKonstantinosMAR;Konstantinos;Mitroglou;MAR;Forward;10;
;Lees-MelouPierreNIC;Pierre;Lees-Melou;NIC;Midfielder;10;
;NsorKwameMET;Kwame;Nsor;MET;Forward;10;
;MbappeKylianPSG;Kylian;Mbappe;PSG;Forward;10;
;Rony_LopesMON;;Rony Lopes;MON;Midfielder;10;
;NdourAbdallahSTR;Abdallah;Ndour;STR;Defender;10;
;JacobsenLarsGUI;Lars;Jacobsen;GUI;Defender;10;
;CoulibalyLassanaANG;Lassana;Coulibaly;ANG;Midfielder;10;
;PionnierLaurentMTP;Laurent;Pionnier;MTP;Goalkeeper;10;
